'a'gong'yan 阿公岩
'a'gong'yan'cun'dao 阿公岩村道
'a'gong'yan'dao 阿公岩道
'ai'die'wan 爱蝶湾
'ai'dong'shang'chang 爱东商场
'ai'fu'ge 爱富阁
'ai'hua'jie 埃华街
'ai'min'cun 爱民村
'ai'min'cun 爱民邨
'ai'min'jie 爱民街
'ai'min'shang'chang 爱民商场
'ai'min'zong'zhan 爱民总站
'ai'ning'yuan 蔼宁园
'ai'qin'dao 爱勤道
'ai'qin'hai'an 爱琴海岸
'ai'qin'wan 爱琴湾
'ai'suo'you'zhan 埃索油站
'ai'xian'jie 爱贤街
'ai'zheng'zhong'xin 癌症中心
'ai'zhi'xu'jie 爱秩序街
'ai'zhi'xu'wan 爱秩序湾
'ai'zhi'xu'wan'dao 爱秩序湾道
'an'cheng'ge 安澄阁
'an'cheng'ge'dui'mian 安澄阁对面
'an'ci'lu 安慈路
'an'da'chen'dao 安达臣道
'an'da'zhong'xin 安达中心
'an'ding 安定
'an'ding'cun 安定邨
'an'fu'dao 安富道
'an'hui'yuan 安慧苑
'an'ji'yuan 安基苑
'an'ji'yuan'le'hua 安基苑乐华
'an'jie'jie 安捷街
'an'jie'li 安捷里
'an'kang'lu 安康路
'an'lao'yuan 安老院
'an'le'cun 安乐村
'an'li'bie'shu 安利别墅
'an'li'zhong'xin 安力中心
'an'mei'lou 安湄楼
'an'ning'hua'yuan 安宁花园
'an'ning'lu 安宁路
'an'pu'cun 安圃村
'an'song'lou 安颂楼
'an'tian'lou 安田楼
'an'xiang'lu 安祥路
'an'xin'jie 安信街
'an'xing'lou 安兴楼
'an'ye'jie 安业街
'an'yi'lou 安逸楼
'an'yin'ba'shi'zong'zhan 安荫巴士总站
'an'yin'cun 安荫邨
'an'yin'cun'feng'yin'lou 安荫邨丰荫楼
'an'yin'cun'sheng'yin'lou 安荫邨盛荫楼
'an'yin'feng'yin'lou 安荫丰荫楼
'an'zu'jie 安足街
'ang'chuan'lu 昂船路
'ang'chuan'zhou 昂船洲
'ang'ping 昂坪
'ang'ping 昂平
