'a'a'a 啊啊啊
'a'bai'chuan 阿百川
'a'ban 阿班
'a'bao'zhi'gong 阿保之功
'a'bao'zhi'lao 阿保之劳
'a'bi'di'si'jiang'jun 阿比迪斯将军
'a'bi'di'yu 阿鼻地狱
'a'bi'gai'en 阿比盖恩
'a'bi'gai'er 阿比盖尔
'a'bi'jian 阿鼻剑
'a'bi'jiao'huan 阿鼻叫唤
'a'bi'ma'zu 呵佛駡祖
'a'bi'xun'shi 呵笔寻诗
'a'bo'fei'si 阿波菲斯
'a'bo'la'zi 阿博拉兹
'a'bo'la'zi'fei'xu 阿博拉兹废墟
'a'bo'na'si 阿博纳斯
'a'bu 阿布
'a'chai'she'jian 阿豺折箭
'a'dai'gu'si 阿代古斯
'a'dai'gu'si'zhi'yan 阿代古斯之眼
'a'da'man'te 阿达曼特
'a'dang'bi'zhou 阿党比周
'a'dang'xiang'wei 阿党相为
'a'dao 阿道
'a'de'wen 阿德温
'a'dou'tai'zi 阿斗太子
'a'duo'en 阿多恩
'a'du'si 阿杜斯
'a'du'si'sui'pian 阿度斯碎片
'a'du'wu 阿堵物
'a'er'duo 阿尔多
'a'er'ke'long 阿尔科隆
'a'er'ke'long'fei'xu 阿尔科隆废墟
'a'er'ke'long'huo'pen 阿尔科隆火盆
'a'er'ke'long'shan'mai 阿尔科隆山脉
'a'er'sa'si 阿尔萨斯
'a'er'sa'si'de'li'wu 阿尔萨斯的礼物
'a'er'sa'si'zhi'lei 阿尔萨斯之泪
'a'er'tai'ya 阿尔泰娅
'a'fu'la'sha 阿弗拉沙
'a'fu'la'sha'sui'pian 阿弗拉沙碎片
'a'fu'rong'gao 阿芙蓉膏
'a'gao'er 阿高尔
'a'ga'tuo'yao 阿伽陀药
'a'ge'luo'ge'shen 阿格罗戈什
'a'ge'man'qi 阿格曼奇
'a'ge'man'qi'zhi'jie 阿格曼奇之戒
'a'ge'mo'de 阿戈莫德
'a'ge'mu 阿格姆
'a'ge'na 阿格纳
'a'ge'tu 阿格图
'a'gou'a'mao 阿狗阿猫
'a'gou'na 阿苟纳
'a'gou'na'ji'tan 阿苟纳祭坛
'a'gou'na'zhi'chi 阿苟纳之池
'a'gou'na'zhi'gu 阿苟纳之骨
'a'gu'a'weng 阿姑阿翁
'a'gu'si 阿古斯
'a'gu'si'zhi'nan'zhen 阿古斯指南针
'a'gu'si'zhi'shou 阿古斯之手
'a'gu'ta'si 阿古塔斯
'a'hu'di'yu 阿呼地狱
'ai 哀
'ai'ai 蔼蔼
'ai'ai'ca'ca 挨挨擦擦
'ai'ai'cheng'cheng 挨挨抢抢
'ai'ai'cuo'cuo 挨挨错错
'ai'ai'fu'mu 哀哀父母
'ai'ai'heng'heng 隘隘亨亨
'ai'ai'ji'ji 捱捱挤挤
'ai'ai'ji'ji 挨挨挤挤
'ai'ai'pang'pang 矮矮胖胖
'ai'ai'shi'shi 矮矮实实
'ai'ai'ya'ya 挨挨轧轧
'ai'ai'yu'jue 哀哀欲绝
