'a'da'zhong'lang'xi'you'yu 阿大中郎喜有馀
'a'fang'gong'fu'tang'du'mu 阿房宫赋唐杜牧
'a'ge'san'chong'jie 阿阁三重阶
'a'hou'zai'he'chu 阿侯在何处
'ai'ai'bing'xue'hang 哀哀冰雪行
'ai'ai'cang'gu'si 蔼蔼藏孤寺
'ai'ai'chun'feng'ru'shui'cun 蔼蔼春风入水村
'ai'ai'chun'kong 霭霭春空
'ai'ai'dang'chuang'yi'zhu'yun 霭霭当窗一炷云
'ai'ai'di'wang'zhou 蔼蔼帝王州
'ai'ai'feng'yan'wan 暧暧风烟晚
'ai'ai'fu'mu 哀哀父母
'ai'ai'fu'mu'sheng'yu'wo 哀哀父母生育我
'ai'ai'fu'yun'fei 蔼蔼浮云飞
'ai'ai'gu'cheng'bei 蔼蔼孤城背
'ai'ai'jun'shi'shi'ling'yun 蔼蔼君诗似岭云
'ai'ai'lin'ting'wan 蔼蔼林亭晚
'ai'ai'long'ling'ge 暧暧笼铃阁
'ai'ai'long'shang'yun 蔼蔼垅上云
'ai'ai'mei'yao'fen 蔼蔼没遥氛
'ai'ai'ming'yue'lou 哀哀明月楼
'ai'ai'ning'chun'tai 霭霭凝春态
'ai'ai'qing'cheng'yun 蔼蔼青城云
'ai'ai'qi'ting'pin'cong'lie 蔼蔼绮庭嫔从列
'ai'ai'qu'chen'hun'ba'an 暧暧去尘昏灞岸
'ai'ai'ru'xian'gong 蔼蔼入仙宫
'ai'ai'shu'se'shen 蔼蔼树色深
'ai'ai'tian'qi'zhuai 蔼蔼天旗转
'ai'ai'xiang'yun'nian'lu'qing 霭霭祥云辇路晴
'ai'ai'yao'shan'man 蔼蔼瑶山满
'ai'ai'yuan'ren'cun 暧暧远人村
'ai'ai'yun'gui'lu 蔼蔼云归麓
'ai'ai'zhao'yun'sheng 霭霭朝云生
'ai'ba'dan'qing'cuo'hua'ren 爱把丹青错画人
'ai'ba'ge'hou'dang'yan'cheng 爱把歌喉当筵逞
'ai'ba'shan'piao'mo'xiao'nong 爱把山瓢莫笑侬
'ai'cao'qie'qie'ru'chan'yin 哀操切切如蝉吟
'ai'che 哀彻
'ai'ci'cang'ran'shen'ju'kuan 爱此苍然深且宽
'ai'ci'gong'shang'you'zhen'yi 爱此宫商有真意
'ai'ci'jiang'bian'hao 爱此江边好
'ai'ci'ji'qiu'ku 爱此及秋枯
'ai'ci'lou'de'bo 爱此露的皪
'ai'ci'qian'gan'bi 爱此千竿碧
'ai'ci'qiong'du 哀此茕独
'ai'ci'san'pian'ru'jiu'mei 爱此三篇如酒美
'ai'ci'shan'zhong'ren 爱此山中人
'ai'ci'sui'yue'qiu 哀此岁月遒
'ai'ci'wu'neng'wei'fu'shi 爱此吾能为赋诗
'ai'ci'xiao'tian'du 爱此小天竺
'ai'ci'xie'li'you 哀此写离忧
'ai'ci'yi'ju'han 爱此一掬寒
'ai'ci'you'sheng'wu'yong'zhi'qing'liu 爱此有声无用之清流
'ai'dan'ben'jiu'qu 哀弹本旧曲
'ai'dao'hua'mei'shen'qian'ru'shi'wu 爱道画眉深浅入时无
'ai'ding'ming'chuang 矮钉明窗
'ai'dong'feng 爱东风
'ai'duo'ru'geng'wen 哀多如更闻
'ai'er'bu'jian 爱而不见
'ai'er'bu'jian'hen'wu'qiong 爱而不见恨无穷
'ai'er'bu'jian'xin'duan'jue 爱而不见心断绝
'ai'er'bu'ke'jian 爱而不可见
'ai'er'bu'shang 哀而不伤
'ai'feng'ren'zhi'zi'ye 艾封人之子也
'ai'feng'ren'zi'an'mu'jie 艾封人子暗目睫
'ai'feng'zhan'jin'fu'zi'hui 艾封沾襟复自悔
'ai'ge'chu'wan'chi 哀歌助晚迟
'ai'ge'he'qing'dan 哀歌和清弹
'ai'ge'wei'duan'cheng'ya'qi 哀歌未断城鸦起
'ai'gong'wen'she'yu'zai'wo 哀公问社于宰我
'ai'gong'wen'yue 哀公问曰
'ai'gong'wen'yu'you're'yue 哀公问与有若曰
'ai'gong'yi'ri'yi'gao'min'zi'yue 哀公异日以告闵子曰
'ai'guan'shen'yu'xu 哀矜深禹恤
'ai'guan'zai'hao'sheng 哀矜在好生
'ai'guo'zhi'min 爱国治民
'ai'hao'san'ji'bi 哀号三级陛
'ai'hao'you'lai'luo'bi'nan 爱好由来落笔难
'ai'hong'jiao'duan'yun 哀鸿叫断云
'ai'hua'gong'fu'yi'cheng'pi 爱画工夫亦成癖
'ai'hu'chai'tou 艾虎钗头
'ai'hui'chang'bu'xie 爱惠常不歇
'ai'hu'you'qing'ru'yan'mu 爱护有情如眼目
'ai'jiang'gao'shu'ji'ren'jia 爱将高树记人家
'ai'jiao'bao'zhuo'xue 哀叫饱啄雪
'ai'jiao'chu'shan'lie 哀叫楚山裂
'ai'jia'shi'duan'xu 哀笳时断续
'ai'ji'er'zao'ai'ye 爱己而造哀也
'ai'ji'ling'qiu'shuang 爱其凌秋霜
'ai'jing'dan'jiang'hu 暧景澹江湖
'ai'jing'han'shuang'hui 爱景含霜晦
'ai'jing'yu'gua'fu'sang 爱景欲挂扶桑
'ai'jiu'bu'kui'tian 爱酒不愧天
'ai'jiu'tao'yuan'liang 爱酒陶元亮
'ai'jiu'yang'xiong'hun'bu'guan 爱酒扬雄浑不管
'ai'jiu'yi'zun'chang'zai'pang 爱酒一樽常在旁
'ai'jiu'zhou 隘九州
'ai'ji'wu'shang'wu 爱及屋上乌
'ai'jun'cao'mu'tong'chou'wei 爱君草木同臭味
'ai'jun'chui'yu'di 爱君吹玉笛
'ai'jun'dei'zi'sui 爱君得自遂
'ai'jun'dong'ge'nai'yan'ke 爱君东阁能延客
'ai'jun'qing'ru'han'shui'yu 爱君清如寒水玉
'ai'jun'shao'zhuang'ci'xing'le 爱君少壮此行乐
'ai'jun'shei'shi'yuan'he'lao 爱君谁似元和老
'ai'jun'shi'ju'meng 爱君似剧孟
'ai'jun'wu'shi'zhu'cai'fu 爱君五十著彩服
'ai'jun'you'yi'qi 爱君有逸气
'ai'ju'ru'yan'nan'shan'bi 爱渠入眼南山碧
'ai'ke'bu'zhi'pi 爱客不知疲
'ai'ke'zuo'xiang'qiu 爱客坐相求
'ai'le'bu'neng'ru'ye 哀乐不能入也
'ai'le'zhuan'xiang'xun 哀乐转相寻
'ai'li'chu'hu'ren'yi 爱利出乎仁义
'ai'li'fang'zi'ci 爱离方自此
'ai'li'shei'wei'xiang 爱礼谁为羊
'ai'li'zuo'cheng'chou 爱礼坐成仇
'ai'mi'dong'ping'shu 哀靡东平树
'ai'min'cai'li'wei'kong'shang 爱民财力惟恐伤
'ai'ming'ao'ao 哀鸣嗷嗷
'ai'ming'bu'ai'shi 哀命不哀时
'ai'ming'fan'qiong'chou 哀命返穷愁
'ai'ming'qi'you'qiu 哀鸣岂有求
'ai'ming'wen'jiu'gao 哀鸣闻九皋
'ai'min'sheng'zhi'duo'jian 哀民生之多艰
'ai'min'tian'zi'shi'ren'zong 爱民天子似仁宗
'ai'min'you'guo'you'cong'lai 爱民忧国有从来
'ai'nai'qu 欸乃曲
'ai'nai'yi'sheng'shan'shui'lu 唉乃一声山水绿
'ai'nai'yi'sheng'shan'shui'lv 欸乃一声山水绿
'ai'ning'qu'bu'tiao 哀凝曲不调
'ai'ning'xie'lin'jing 埃凝写邻镜
'ai'ping'jie'bu'chang 哀平嗟不昌
'ai'pin'xiang'si'diao 爱品相思调
'ai'qing'jing'feng'qiong 爱清景风蛩
'ai'qing'jin'zai'hu'jia'qu 哀情尽在胡笳曲
'ai'qi'ying'chou'huan'luan 艾枝应愁鬟乱
'ai'que'xing'ren'lu 碍却行人路
'ai'ren'bu'qin'fan'ji'ren 爱人不亲反其仁
'ai'ren'li'wu'zhi'wei'ren 爱人利物之谓仁
'ai'ren'sui'shang'tang 哀人遂上堂
'ai'ren'yi'ru'shang 爱人亦如伤
'ai'ren'zhong'zhu'li 爱人忠主利
'ai're'wu'xiu'yun 霭若吴岫云
'ai'ri'jun'shou'ru'dao'zhi 爱日捃收如盗至
'ai'ri'yang'jiang'xu 爱日扬江煦
'ai'ruo'yu'zhi'piao'ling 哀弱羽之飘零
'ai'ru'shan'shang'xue 皑如山上雪
'ai'shang'ceng'lou 爱上层楼
'ai'shan'ru'ai'se 爱山如爱色
'ai'shen'xian 爱神仙
'ai'shi'qi'xing'zhe'ye 爱使其形者也
'ai'shui'nan'chao'kuang'ke 爱说南朝狂客
'ai'si'qing'fu'yuan 哀思罄幅员
'ai'su'yi'gao'ming'yi'zhen 哀俗易高名已振
'ai'ta'feng'xue'ren'ta'han 爱他风雪忍他寒
'ai'ta'ming'yue'hao 爱他明月好
'ai'tan'fei'wei'hun'yin'gu 爱叹非为婚姻故
'ai'tie'di'zheng'fei 爱贴地争飞
'ai'wan'chu'chong'cheng 哀挽出重城
'ai'wang'sun 哀王孙
'ai'wan'ting'shang'feng'ye'chou 爱晚亭上枫叶愁
'ai'wan'zhuai'kong'shan 哀挽转空山
'ai'wo'zheng'fu 哀我征夫
'ai'wu'sheng'zhi'xu'yu 哀吾生之须臾
'ai'xian'diao'yi'jue 哀弦调已绝
'ai'xiang'ai'nuan'jin'bei'man 爱香爱暖金杯满
'ai'xiang'ji'jin'zou 哀响激金奏
'ai'xiang'ju'wen'tian 哀响讵闻天
'ai'xiang'zha'yin'feng 哀响乍吟风
'ai'xian'neng'you'ji'ren'lai 爱闲能有几人来
'ai'xian'wei'bao'guo 爱贤唯报国
'ai'xian'zhen'yu'shi'xiang'wei 爱闲真与世相违
'ai'xi'bi'fei'you'sai'ren 爱惜蔽芾由思人
'ai'xi'shuang'mei'mang 爱惜霜眉厖
'ai'xi'wei'guan'jiang'de'yong 爱惜微官将底用
'ai'xi'you'xiang'yi'ru'ci 爱惜幽香意如此
'ai'xue'chang'ren'dong 爱雪长忍冻
'ai'ya'chuang'dou'zhang 矮牙床斗帐
'ai'yan'yi'he'shi 哀颜亦何施
'ai'ye'lv'hua'shei'jian'ke 艾叶绿花谁翦刻
'ai'yin'bu'ke'ting 哀音不可听
'ai'yin'duan'ren'chang 哀音断人肠
'ai'yin'fei'suo'qiu 哀音非所求
'ai'yin'ru'can'wo 哀音如掺挝
'ai'yin'shi'su 哀音似诉
'ai'yi'shen'wei'tian'xia 爱以身为天下
'ai'yi'shen'yu'wei'tian'xia 爱以身于为天下
'ai'you'ji'zhi 哀又继之
'ai'you'yi'ji'liu 爱有以计留
'ai'yuan'guo'xue'xi'hai'chu'ji'xiu 哀冤果雪兮还处其休
'ai'yuan'jiao'ren'bu'ren'wen 哀怨教人不忍闻
'ai'yuan'qi'sao'ren 哀怨起骚人
'ai'yuan'you'xin'qu 哀怨有新曲
'ai'yu'bu'gong 隘与不恭
'ai'yu'chuan'wan'wu 爱欲传万物
'ai'yue'bu'yi'shi'hu'qian 哀乐不易施乎前
'ai'yue'zhi'lai 哀乐之来
