'ai'jian'kai'wen 僾见忾闻
'a'ke'qu'rong 阿匼取容
'a'bao'zhi'gong 阿保之功
'a'bao'zhi'lao 阿保之劳
'a'dou'tai'zi 阿斗太子
'a'du'wu 阿堵物
'a'shun'qu'rong 阿顺取容
'a'yi'gou'he 阿意苟合
'e'yi'shun'zhi 阿意顺旨
'a'zhi'shun'qing 阿旨顺情
'e'zun'shi'gui 阿尊事贵
'e'yu'gou'he 阿谀苟合
'e'yu'qiu'rong 阿谀求容
'e'yu'qu'cong 阿谀曲从
'e'yu'shun'zhi 阿谀顺旨
'e'yu'chan'ning 阿谀谄佞
'ai'da'shou'ma 挨打受骂
'ai'da'shou'qi 挨打受气
'ai'e'shou'dong 挨饿受冻
'ai'jia'an'hu 挨家按户
'ai'hong'man'lu 哀鸿满路
'ai'yue'xiang'sheng 哀乐相生
'ai'le'xiang'sheng 哀乐相生
'ai'si'shi'sheng 哀死事生
'ai'xi'jiao'bing 哀喜交并
'ai'jin'cheng'chuang 哀矜惩创
'ai'jin'wu'xi 哀矜勿喜
'ai'ai'pang'pang 矮矮胖胖
'ai'ai'shi'shi 矮矮实实
'ai'xiao'jing'han 矮小精悍
'ai'zi'li'ba'jiang'jun 矮子里拔将军
'ai'fa'shuai'rong 艾发衰容
'ai'nan'zun'ming 碍难遵命
'ai'shang'ai'xia 碍上碍下
'ai'cai'hao'shi 爱才好士
'ai'cai'lian'ruo 爱才怜弱
'ai'cai'she'ming 爱财舍命
'ai'da'bu'li 爱答不理
'ai'fei'qi'dao 爱非其道
'ai'guo'yi'jia 爱国一家
'ai'kou'shi'xiu 爱口识羞
'ai'lao'ci'you 爱老慈幼
'ai'li'bu'li 爱理不理
'ai'shi'tan'cai 爱势贪财
'ai'xian'nian'jiu 爱贤念旧
'ai'ze'jia'zhu'xi'e'ze'zhui'zhu 爱则加诸膝恶则坠诸
'ai'ze'jia'zhu'xi'wu'ze'zhui'zhu 爱则加诸膝恶则坠诸
'ai'zhe'ru'bao 爱者如宝
'ai'zhi'yu'qi'sheng'e'zhi'yu'qi 爱之欲其生恶之欲其
'ai'zhi'yu'qi'sheng'wu'zhi'yu'qi 爱之欲其生恶之欲其
'an'bu'li'ma'bei'jia'bu'li'jiang 鞍不离马背甲不离将
'an'an'fen'fen 安安分分
'an'an'he'shi 安安合适
'an'an'jing'jing 安安静静
'an'an'xin'xin 安安心心
'an'an'yi'yi 安安逸逸
'an'ding'tuan'jie 安定团结
'an'fen'shou'chang 安分守常
'an'qi'suo'xi 安其所习
'an'wei'xiang'yi'huo'fu'xiang'sheng 安危相易祸福相生
'an'xiang'gong'jing 安详恭敬
'an'yu'pan'shi 安于磐石
'an'yu'suo'xi 安于所习
'an'lao'fen'pei 按劳分配
'an'lao'qu'chou 按劳取酬
'an'na'bu'zhu 按纳不住
'an'qiang'zhu'ruo 按强助弱
'an'na'bu'xia 按捺不下
'an'cang'sha'ji 暗藏杀机
'an'cha'ming'fang 暗察明访
'an'jiao'xian'tan 暗礁险滩
'an'li'shi'jin 暗里使劲
'an'yue'si'qi 暗约私期
'an'yue'tou'qi 暗约偷期
'an'zhong'pan'suan 暗中盘算
'an'zhong'qing'ya 暗中倾轧
'an'zhong'zuo'geng 暗中作梗
'an'zhong'zuo'le 暗中作乐
'an'zhong'zuo'yue 暗中作乐
'an'du'ru'gu 案堵如故
'ang'ang'zang'zang 肮肮脏脏
'ang'ang'bu'dong 昂昂不动
'ang'ran'er'ru 昂然而入
'ao'tu'bu'ping 凹凸不平
'ao'shuang'zhi 傲霜枝
'ao'hui'mo'ji 懊悔莫及
'ba'gan'zi'da'bu'zhao 八竿子打不着
'ba'zhuan'xue'shi 八砖学士
'bai'fei'kou'she 白费口舌
'bai'fei'la 白费蜡
'bai'fei'xin'ji 白费心机
'bai'yi'tian'shi 白衣天使
'bai'zhua'nao'xin 百爪挠心
'bai'jia'zi 败家子
'ban'ban'lan'lan 斑斑斓斓
'ban'zi'zhi'yi 半子之谊
'bao'can'yi'dun 饱餐一顿
'bao'xi'bu'bao'you 报喜不报忧
'ben'kou'zhuo'she 笨口拙舌
'ben'shou'ben'jiao 笨手笨脚
'bi'bi'hua'hua 比比划划
'bi'jian'er'shi 比肩而事
'bi'mo'zhi'yan 笔墨纸砚
'bi'qiang'zhi'dan 笔枪纸弹
'bi'men'xie'ke 闭门谢客
'bi'yi'qing 必以情
'bian'hai'jiu'gu 便还就孤
'pian'hai'jiu'gu 便还就孤
'bie'wu'chu'lu 别无出路
'bie'wu'ta'fa 别无它法
'bu'chi'xiang'shi 不耻相师
'bu'ci'bu'xiong 不雌不雄
'bu'de'ming 不得命
'bu'dei'ming 不得命
'bu'fa'zhi'tu 不法之徒
'bu'fen'qing'zhong 不分轻重
'bu'ju'yu'shi 不拘于时
'bu'nian'jiu'qing 不念旧情
'bu'shi'jiu'wu 不失旧物
'bu'tu'bu'kuai 不吐不快
'bu'xuan'er'zhan 不宣而战
'bu'ceng'xu'guo 不曾序过
