'ci'ao 次奥
'xi'da'pu'ben 喜大普奔
'bi'ge 逼格
'nv'han'zi 女汉子
'bu'ming'jue'li 不明觉厉
'xi'fan 稀饭
'qiao'mei 乔妹
'dong'wu'cheng 动物城
'feng'kuang'dong'wu'cheng 疯狂动物城
'meng'bi 懵逼
'ma'de'zhi'zhang 妈的智障
'xian'shi'ban'xi'xue'gui 现实版吸血鬼
'shi'mu'gao'cai'sheng 弑母高材生
'shuang'bao'tai'qi'zheng 双胞胎奇症
'tian'cai'zuo'xi'biao 天才作息表
'nan'xing'yun'ma 男性孕妈
'shen'zhen'tian'hai 深圳填海
'qing'chun'ji'yin 青春基因
'fei'yu'qing'luo'juan 费玉清裸捐
'wu'yao'wang 污妖王
'di'ba 帝吧
'hou'sai'lei 猴赛雷
'la'me 辣么
'pao'liang'zu 泡良族
'cao'dian 槽点
'sha'pao'zi 傻狍子
'man'pin'de 蛮拼的
'biao'biao'de 嫑嫑的
'tian'la'lu 天啦噜
'ban'deng 板凳
'lao'zi 劳资
'jue'zhong'chou'yan 绝种丑颜
'guan'shui 灌水
'ran'bing'luan 然并卵
'ji'yong 鸡涌
'ji'chong 鸡涌
'liao'mei 撩妹
'ni'zao'ma 你造吗
'you'yi'de'xiao'chuan'shuo'fan'jiu'fan 友谊的小船说翻就翻
'ai'qing'de'ju'lun'shuo'chen'jiu'chen 爱情的巨轮说沉就沉
'qin'qing'de'huo'miao'shuo'mie'jiu'mie 亲情的火苗说灭就灭
'qing'chun'de'xiao'niao'shuo'fei'jiu'fei 青春的小鸟说飞就飞
'ren'xing'de'ti'zhong'shuo'zhang'jiu'zhang 任性的体重说涨就涨
'hao'hao'de'ye'men'shuo'wan'jiu'wan 好好的爷们说弯就弯
'gang'lai'de'yi'ma'shuo'lou'jiu'lou 刚来的姨妈说漏就漏
'gang'qu'de'xian'jin'shuo'mei'jiu'mei 刚取的现金说没就没
'hao'hao'de'jiu'dian'ren'shuo'mei'jiu'shui 好好的酒店人说没就氵
'hao'hao'de'jiu'dian'ren'shuo'mei'jiu'san 好好的酒店人说没就氵
'ge'bi'de'lao'wang'shuo'ban'jiu'ban 隔壁的老王说搬就搬
'wan'e'de'qian'ren'shuo'si'jiu'si 万恶的前任说死就死
'hao'hao'de'biao'qing'shuo'wu'jiu'wu 好好的表情说污就污
'nao'gong 脑公
'tu'ding'you'jiao'mei'mao'bing 秃顶又叫没毛病
'ka'ji'ma 卡基马
'tai'yang'de'hou'yi 太阳的后裔
'yue'liang'de'hou'yi 月亮的后裔
'long'de'chuan'ren 龙的传人
'ai'dou 爱豆
'xi'si'ji'kong 细思极恐
'yi'diu'diu 一丢丢
'bei'ge'bang 背个棒
'ni'ma 尼玛
'zhao'shi 找屎
'zao'ma 造吗
'wo'fang'le 我方了
'gou'dai 狗带
'xiao'niao 笑尿
'dou'bi 逗比
'shuai'bi 帅比
'xia'niao 吓尿
'meng'bi 萌比
'sha'bi 煞笔
'jiang'zi 酱紫
'gun'cu 滚粗
'gan'jiao 赶脚
'dui're 对惹
'shi'da 是哒
'hao'da 好哒
'he'qi'liao 何弃疗
'gao'da'shang 高大上
'dui'tou 对头
'xiang 翔
