'ai'xin'hui'guo 爱信慧国
'an'feng'qiao 安丰桥
'an'qiao'she'qu 安桥社区
'an'qiao'tou 安桥头
'an'shan'chen 安山陈
'an'shan'chen'nan 安山陈南
'an'shan'cun 安山村
'an'shui'chi 氨水池
'an'wu'fang 安五房
'an'xi 安溪
'an'xi'cun 安溪村
'an'xi'da'qiao 安溪大桥
'an'xi'lu'kou 安溪路口
'an'zhong'kou 安众口
'ang'guang'cun'wei 昻光村委
'ao'zhuang'chen 袄庄陈
'ba'bao 八堡
'ba'bao'nan 八堡南
'ba'bao'she'qu 八堡社区
'ba'bao'si'wei 八堡四纬
'ba'bao'wu'wei 八堡五纬
'ba'bao'xiao'qu 八堡小区
'ba'da'lu'kou 八大路口
'ba'gua'tian 八卦田
'ba'jia'shan 八甲山
'ba'jiao'ting 八角亭
'ba'ke'xian'shang'mao'lu'kou 八柯线商贸路口
'ba'li'qiao'lu'kou 八里桥路口
'ba'yi'xiao'xue 八一小学
'ba'zi'qiao 八字桥
'ba'zi'qiao'bei 八字桥北
'bai'bu'cha'kou 百步叉口
'bai'bu'si 百步寺
'bai'chi'lou 百尺娄
'bai'du'xiang 白渡巷
'bai'he'tou 白河头
'bai'jia'yuan 百家园
'bai'jia'yuan'lu'bei'kou 百家园路北口
'bai'jing'fang'xiang 百井坊巷
'bai'lian'ao'te'lai'si 百联奥特莱斯
'bai'long'si 白龙寺
'bai'lu'tang 白鹿塘
'bai'lu'wan'jiu'dian 白鹭湾酒店
'bai'ma'hu'xiao'qu 白马湖小区
'bai'ma'hu'xiao'qu'bai'he'yuan 白马湖小区白鹤苑
'bai'ma'hu'xiao'qu'feng'huang'yuan 白马湖小区凤凰苑
'bai'ma'hu'yu'cun 白马湖渔村
'bai'mu'di 百亩地
'bai'nao'hui 百脑汇
'bai'sha 白沙
'bai'sha'lu'kou 白沙路口
'bai'shan'chen 柏山陈
'bai'shi'cun 白石村
'bai'shi'lu'shen'jia'lu'kou 白石路沈家路口
'bai'shi'lu'xi'wen'jie'kou 白石路西文街口
'bai'shi'lu'xiang'ji'si'lu'kou 白石路香积寺路口
'bai'shi'qiao 白石桥
'bai'shu'miao'tu'jie'tou 柏树庙屠介头
'bai'ta'cun 白塔村
'bai'ta'ling 白塔岭
'bai'ta'ling'bei 白塔岭北
'bai'xiao 白皛
'bai'yan 白堰
'bai'yang'ling 白杨岭
'bai'yi'ting 白衣亭
'bai'yi'zhi'yi 百艺制衣
'bai'yun'fu'shi 白云服饰
'bai'yun'shi'kuang 白云石矿
'bai'yun'wei'sheng'zhan 白云卫生站
'bai'zhang 百丈
'bai'zhang'che'zhan 百丈车站
'bai'zhang'gong'jiao'zhan 百丈公交站
'ban'dao'hong 半道红
'ban'li'zhu 板里朱
'ban'lu'liang'ting 半路凉亭
'ban'qiao'cun'wei 板桥村委
'ban'shan'cun 半山村
'ban'shan'dian'chang 半山电厂
'ban'shan'lu 半山路
'ban'shan'lu'gong'jiao'zhan 半山路公交站
'ban'shi 板石
'ban'shi'jiao'yu'lu'kou 板石教育路口
'ban'wu 板坞
'bao'ban'fen'chang 薄板分厂
'bao'chu'lu 保俶路
'bao'feng'lu'kou 宝丰路口
'bao'jia 鲍家
'bao'jia'du 鲍家渡
'bao'jia'tang 包家塘
'bao'jin'lu 保锦路
'bao'lin'lu'feng'shan'lu'kou 宝林路凤山路口
'bao'lin'lu'kou 宝林路口
'bao'lin'lu'yu'hang'lu'kou 宝林路禹航路口
'bao'shan'qiao 宝善桥
'bao'shan'qiao'jian'guo'lu'kou 宝善桥建国路口
'bao'shi'liu'xia 宝石流霞
'bao'ta'xing'yuan 宝塔星苑
'bao'ting'xiang 保亭巷
'bao'tong'jia'xiao 保通驾校
'bao'wen'xian'lu'kou 宝温线路口
'bao'yuan'ze'di 保元泽第
'bao'zhang'qiao 保障桥
'bei'bu'ruan'jian'yuan 北部软件园
