'xue'er'bu'yan'hui'ren'bu'juan 学而不厌诲人不倦
'kai'juan'you'yi'yan'juan'you'wei 开卷有益掩卷有味
'zhi'shi'jiu'shi'li'liang 知识就是力量
'xue'er'shi'xi'zhi'bu'yi'yue'hu 学而时习之不亦悦乎
'min'er'hao'xue'bu'chi'xia'wen 敏而好学不耻下问
'xin'bu'zai'yan'sui'xue'wu'cheng 心不在焉虽学无成
'chong'fu'shi'xue'xi'zhi'mu 重复是学习之母
'du'shu'bai'bian'qi'yi'zi'xian 读书百遍其义自见
'cuo'wu'shi'zhi'hui'de'ke'cheng 错误是智慧的课程
'sheng'huo'bian'shi'xun'qiu'xin'zhi'shi 生活便是寻求新知识
'sheng'huo'bian'shi'xun'qiu'xin'zhi'zhi 生活便是寻求新知识
'jing'yan'bao'han'zhe'xue'wen 经验包含着学问
'wei'zhong'hua'jue'qi'er'du'shu 为中华崛起而读书
'bao'jian'feng'cong'mo'li'chu 宝剑锋从磨砺出
'mei'hua'xiang'zi'ku'han'lai 梅花香自苦寒来
'sheng'ju'mu'duan 绳锯木断
'shui'di'shi'chuan 水滴石穿
'shi'shang'wu'nan'shi 世上无难事
'zhi'yao'ken'deng'pan 只要肯登攀
'shu'shan'you'lu'qin'wei'jing 书山有路勤为径
'xue'hai'wu'ya'ku'zuo'zhou 学海无涯苦作舟
'tian'dao'chou'qin 天道酬勤
'shu'dao'yong'shi'fang'hen'shao 书到用时方恨少
'xue'fu'wu'che'bu'wei'duo 学富五车不为多
'shu'you'yao'ye 书犹药也
'shan'du'ke'yi'yi'yu 善读可以医愚
'shan'dou'ke'yi'yi'yu 善读可以医愚
'shan'duo'ke'yi'yi'yu 善读可以医愚
'shu'ji'shi'zui'gui'zhong'de'zhen'bao 书籍是最贵重的珍宝
'shu'ji'shi'zui'gui'zhong'di'zhen'bao 书籍是最贵重的珍宝
'shu'shi'wei'yi'bu'si'de'dong'xi 书是唯一不死的东西
'cuo'zhe'ke'zeng'zhang'jing'yan 挫折可增长经验
'jing'yan'neng'feng'fu'zhi'hui 经验能丰富智慧
