'lao'lun'si 劳伦斯
'a'lan'de'long 阿兰德隆
'cao'jing'xing 曹景行
'cha'er'dun 查尔顿
'chen'dan'qing 陈丹青
'di'ren'jie 狄仁杰
'mao'ze'dong 毛泽东
'li'yan'hong 李彦宏
'song'mei'ling 宋美龄
'liang'wen'bo 梁文博
'yin'hong'nian 殷洪年
'yan'hong'nian 殷洪年
'yu'qiu'yu 余秋雨
'zhao'wen'di 昭文帝
'zou'de'zhong 邹德忠
'a'bao 阿宝
'a'bian 阿扁
'a'bo'luo 阿波罗
'a'bo'la'mo'fu 阿伯拉默夫
'a'bu'du'er 阿卜杜尔
'a'bo'du'er 阿卜杜尔
'e'bu'du'er 阿卜杜尔
'e'bo'du'er 阿卜杜尔
'a'bu 阿部
'a'bu'gui'xiu 阿部规秀
'a'chen 阿辰
'e'chen 阿辰
'a'da 阿达
'a'dao'fu 阿道夫
'a'de'mi'er 阿德米尔
'a'di 阿笛
'e'di 阿笛
'a'du 阿杜
'a'duo 阿朵
'a'er'ba 阿尔巴
'a'er'bei'te 阿尔贝特
'a'er'bei'tuo 阿尔贝托
'a'er'di'lie'si 阿尔迪列斯
'a'er'fu'lei'de 阿尔弗雷德
'a'er'fu'lei'duo 阿尔弗雷多
'a'gu'bai 阿古柏
'a'gu'bo 阿古柏
'a'gu'da 阿骨打
'e'gu'da 阿骨打
'a'gu'da 阿骨大
'a'gu'dai 阿骨大
'a'gu'tai 阿骨大
'e'gu'da 阿骨大
'e'gu'dai 阿骨大
'e'gu'tai 阿骨大
'a'guai 阿怪
'a'gui 阿贵
'a'gui 阿桂
'a'he'luo'mei'ye'fu 阿赫罗梅耶夫
'e'he'luo'mei'ye'fu 阿赫罗梅耶夫
'a'hui'nan 阿会喃
'e'hui'nan 阿会喃
'a'kuai'nan 阿会喃
'e'kuai'nan 阿会喃
'a'ji'mi'de 阿基米德
'a'ji'nuo 阿基诺
'a'jia'sha 阿加莎
'a'jia'xi 阿加西
'a'jia'ke'si 阿贾克斯
'a'jie 阿婕
'e'jie 阿婕
'a'ka'liu'si 阿喀琉斯
'a'ke'er'si 阿克尔斯
'a'kui'na 阿奎那
'a'la'fa'te 阿拉法特
'a'lai 阿来
'a'lan 阿兰
'a'li'bu'ge 阿里不哥
'a'li'fou'ge 阿里不哥
'a'li'han 阿里汉
'a'li'ke'xie 阿里克谢
'a'li'lang 阿里郎
'a'li'si'tuo'fen 阿里斯托芬
'a'li'ke'si 阿历克斯
'a'lian'de 阿连德
'e'lian'de 阿连德
'a'long'suo 阿隆索
'a'lun'te 阿伦特
'a'luo'ni'yang 阿罗尼扬
'a'ma'li'er'duo 阿马里尔多
'a'man'ni'sha'han 阿曼尼莎汗
'a'man'ni'suo'han 阿曼尼莎汗
'a'meng 阿蒙
'a'mu 阿木
'a'nan'de 阿南德
'a'niu 阿牛
'a'nuo'de 阿诺德
'a'pei'a'wang'jin'mei 阿沛阿旺晋美
'e'pei'a'wang'jin'mei 阿沛阿旺晋美
'a'qin 阿沁
'a'qing'sao 阿庆嫂
'a'qiu 阿丘
'a'sang 阿桑
'a'se 阿瑟
'a'su'ji'ba 阿速吉八
'a'su'wen'he'ji'ba 阿速温和吉八
'a'xi'mo'fu 阿西莫夫
'a'xin 阿信
'a'ya 阿雅
'a'yi 阿忆
'a'ying 阿英
'a'yu'xi 阿玉锡
'a'yu'wang 阿育王
'ai'ping'di 哀平帝
'ai'ping'di'fu'pi 哀平帝苻丕
'ai'wang 哀王
'ai'wang'ju'qu'mu'jian 哀王沮渠牧犍
'ai'wang'ju'qu'mu'qian 哀王沮渠牧犍
'ai'wang'ju'ju'mu'jian 哀王沮渠牧犍
'ai'wang'ju'ju'mu'qian 哀王沮渠牧犍
'ai'zong 哀宗
'ai'zong'wan'yan'shou'xu 哀宗完颜守绪
'ai'bu'deng 埃布登
'ai'de'er'man 埃德尔曼
'ai'de'jia 埃德加
'ai'de'meng'de 埃德蒙德
'ai'er'dun 埃尔顿
'ai'er'ke'ye'er 埃尔克耶尔
'ai'lai'ti 埃来提
'ai'lai'di 埃来提
'ai'mi'er 埃米尔
'ai'si'ke'ba 埃斯科巴
'ai'er 艾尔
'ai'fei'er 艾菲尔
'ai'ha'mai'de 艾哈迈德
'ai'jing 艾敬
'ai'ke 艾柯
'yi'ke 艾柯
'ai'lun 艾伦
'ai'lv'ya 艾吕雅
'yi'lv'ya 艾吕雅
'ai'meng'meng 艾梦萌
'ai'pu'li'ya 艾普利亚
'yi'pu'li'ya 艾普利亚
'ai'qing 艾青
'ai'qing'yun 艾庆芸
'yi'qing'yun 艾庆芸
'ai'sen'hao'wei'er 艾森豪威尔
'ai'si'qi 艾思奇
'ai'wei'ta 艾薇塔
'ai'wei'an 艾伟桉
'yi'wei'an 艾伟桉
'ai'wei'wei 艾未未
'ai'wu 艾芜
'yi'wu 艾芜
'ai'xiao'yang 艾小羊
'yi'xiao'yang 艾小羊
'ai'xin 艾昕
'yi'xin 艾昕
'ai'dai 爱戴
'ai'de'hua 爱德华
'ai'de'hua'zi 爱德华兹
'ai'de'hua'ci 爱德华兹
'ai'de'hua'zi 爱德华滋
'ai'di'sheng 爱迪生
'ai'duo'shi 爱多士
'ai'mo'sheng 爱默生
'ai'xin'jue'luo 爱新觉罗
'ai'xin'jue'luo'nu'er'ha'chi 爱新觉罗努尔哈赤
'ai'xin'jue'luo'shi 爱新觉罗氏
'ai'xin'jue'luo'zhi 爱新觉罗氏
'ai'yin'si'tan 爱因斯坦
'ai'yu'li'ba'li'ba'da 爱育黎拔力八达
'an'de'la'de 安德拉德
'an'de'lei'si 安德雷斯
'an'de'li'ang'nuo'fu 安德里昂诺夫
'an'de'lie 安德烈
'an'de'lu 安德鲁
'an'de'wang 安德王
'an'de'wang'gao'yan'zong 安德王高延宗
'an'di 安迪
'an'ding'wang 安定王
'an'ding'wang'yuan'lang 安定王元朗
'an'dong'ni 安东尼
'an'dong'nuo'fu 安东诺夫
'an'ge'er 安格尔
'an'hu 安琥
'an'ji'li'na 安吉丽娜
'an'jia'man 安家满
'an'jun'can 安钧璨
'an'lu'shan 安禄山
'an'nan 安南
'an'ni 安妮
'an'ni'bao'bei 安妮宝贝
'an'qi 安琪
'an'teng'guang'zhong 安藤广重
'an'teng'guang'chong 安藤广重
'an'teng'an'zhong 安藤广重
'an'teng'an'chong 安藤广重
'an'tong 安童
'an'tu'sheng 安徒生
'an'xi'qi 安西奇
'an'yi'hua 安沂华
'an'yi'xuan 安以轩
'an'you'qi 安又琪
'an'ze'hao 安泽豪
'an'zhi'yuan 安致远
'an'zuo'yong 安祚永
'ang'gu'er'liang 昂古尔良
'ang'shan'su'ji 昂山素姬
'ao'you'xiang 敖幼祥
'ao'bu'lai'en 奥布来恩
