'po'yu'mei'jie 迫于眉睫
'ding'zhe'fu'su 鼎折覆餗
'ding'she'fu'su 鼎折覆餗
'shen'si'ku'suo 深思苦索
'ping'zong'lang'ying 萍踪浪影
'duan'xian'yao'zi 断缐鹞子
'peng'xiao'wan'li 鹏霄万里
'pang'qiao'ce'ji 旁敲侧击
'ying'feng'tu'yan 迎风吐艳
'bi'chao'bian'fu 避朝变服
'bi'zhao'bian'fu 避朝变服
'bao'nei'ling'wai 暴内陵外
'mei'si'yi'wen 昧死以闻
'gao'ya'xian'tan 高雅闲谈
'ting'chan'huo'luan 听谗惑乱
'yu'shu 鱼书
'dian'chun'bo'zui 攧唇簸嘴
'su'fu'sheng'ming 素负盛名
'yu'le 鱼乐
'jiang'xin'shun'su 降心顺俗
'yu'zhi'wu'dang 玉巵无当
'yu'zhi'mo'dang 玉巵无当
'zheng'zheng'dang'dang 正正当当
'xing'ming'can'tong 形名参同
'xing'ming'shen'tong 形名参同
'xing'ming'cen'tong 形名参同
'xing'ming'san'tong 形名参同
'yin'yuan'pan'fu 夤缘攀附
'fu'guo'zai'sheng 福过灾生
'fu'he'ci 复合词
'qi'shi'dao'ming 欺世盗名
'she'wei'lv'xian 涉危履险
'jian'shou'bing'chu 兼收并畜
'jian'shou'bing'xu 兼收并畜
'dou'bi'xuan'ya 陡壁悬崖
'bao'lan'ci'song 包揽词讼
'xue'liu'cheng'chuan 血流成川
'zao'ba'bei'zi 早八辈子
'zhi'zhi'gao'ge 置之高阁
'suo'xiang'ke'jie 所向克捷
'chen'jia'xiang 陈家巷
'chen'jia'hang 陈家巷
'shi'jie 拾芥
'shi'gai 拾芥
'she'jie 拾芥
'she'gai 拾芥
'yi'teng'bo'wen 伊藤博文
'zao'yu'bu'ou 遭遇不偶
'guan'xin'er'dong 观衅而动
'bu'ji'zhi'shi 不羁之士
'yu'yan'ji'xiang 语焉既详
'yu'yan'ji'yang 语焉既详
'tong'guan'yue'dui 铜管乐队
'qian'men'wan'hu 千门万户
'an'hu'bi'min 案户比民
'wan'hu'bi'min 案户比民
'tong'nan'che'bei 通南彻北
'zhui'gen'qiu'yuan 追根求源
'dang'jia'zuo'zhu 当家作主
'tou'ren'jie'xu 投刃皆虚
'bu'dai'li'lao'ya 布袋里老鸦
'sha'qi'teng'teng 杀气腾腾
'ma'gu'sao'bei 麻姑搔背
'di'zhu'zhi'yi 地主之谊
'xiao'tai 箫台
'chao'si'mu'nian 朝思暮念
'zhao'si'mu'nian 朝思暮念
'chao'sai'mu'nian 朝思暮念
'zhao'sai'mu'nian 朝思暮念
'chui'xiao'qi'shi 吹箫乞食
'ma'qian'po'shui 马前泼水
'yu'yong 淤涌
'yu'chong 淤涌
'mang'tou'ji'chen 忙投急趁
'hang'shu'mo'xun 行数墨寻
'de'yi'wang'xiang 得意忘象
'liang'meng 梁孟
'qi'mi'zhe'luan 旗靡辙乱
'chu'ren'wang'wai 出人望外
'shu'du'ji'chang 鼠肚鷄肠
'fu'chen'cao'ye 浮沉草野
'wu'jing'tian'ze 物竞天择
'gong'cun'gong'rong 共存共荣
'quan'ran'bu'gu 全然不顾
'dao'qiang'jian'ji 刀枪剑戟
'ji'chu'dao'xin 急杵捣心
'yin'yi'wei'le 引以为乐
'yin'yi'wei'yue 引以为乐
'yin'yi'wei'lao 引以为乐
'jue'tou'jiang'nao 倔头强脑
'ju'shang'cheng'qing 举觞称庆
'ju'shang'chen'qing 举觞称庆
'jiu'zu'sheng'tian 九族生天
'zhong'nan'qun'yi 众难群疑
'chang'hua'duan'shuo 长话短说
'ru'feng'guo'er 如风过耳
'jing'tiao 荆条
'jin'tiao 荆条
'xue'hai'bing'shan 雪海冰山
'bei'ci'hou'li 卑辞厚礼
'luo'luo'nan'he 落落难合
'qian'yan 牵盐
'xi'jian'dong'die 西鹣东鲽
'qi'zhi'yi'shen 弃智遗身
