'wu'ri'san'xing'wu'shen 吾日三省吾身
'ruo'fei'qun'yu'shan'tou'jian 若非群玉山头见
'ruo'fei'qun'yu'shan'tou'xian 若非群玉山头见
'ju'bei'xiao'chou'chou'geng'chou 举杯销愁愁更愁
'cui'jiu'mo'chi'liu 催酒莫迟留
'cui'jiu'mu'chi'liu 催酒莫迟留
'zhu'ren'wang'gui'ke'bu'fa 主人忘归客不发
'jie'ru'ma'shang'er 皆如马上儿
'zeng'yi'qi'suo'bu'neng 曾益其所不能
'jia'shi'zhong'ru'feng 家世重儒风
'jia'shi'chong'ru'feng 家世重儒风
'jiang'shui'liu'chun'qu'yu'jin 江水流春去欲尽
'xia'chu'yi'shen'leng'han 吓出一身冷汗
'yi'nian'shi'er'yue 一年十二月
'yi'pian'you'yi'pian 一片又一片
'bu'zhi'shen'zai'he'chu 不知身在何处
'qu'nian'shi'er'yue 去年十二月
'xiang'feng'ying'bu'shi 相逢应不识
'xiang'feng'ying'bu'zhi 相逢应不识
'jiu'yue'san'shi'ri 九月三十日
'a'da'zhong'lang'xi'you'yu 阿大中郎喜有馀
'a'fang'gong'fu'tang'du'mu 阿房宫赋唐杜牧
'zhi'yuan'jun'xin'si'wo'xin 只愿君心似我心
'hu'er'jiang'chu'huan'mei'jiu 呼儿将出换美酒
'ba'yue'shi'si'ri 八月十四日
'e'pang'jiu'yi'mie 阿房久已灭
'bu'zhi'qi'ji'qian'li 不知其几千里
'bu'zhi'ji'ji'qian'li 不知其几千里
'bu'zhi'qi'ji'qian'li'ye 不知其几千里也
'bu'zhi'ji'ji'qian'li'ye 不知其几千里也
'er'yue'er'shi'er 二月二十二
'e'pang'wan'hu'lie 阿房万户列
'hua'zhi'jun'zi'zhe'ye 花之君子者也
'cao'cao'qie'qie'cuo'za'tan 嘈嘈切切错杂弹
'jun'ting'zhen'shang'kan'chao'tou 郡亭枕上看潮头
'ba'yue'shi'qi'ri 八月十七日
'yi'duo'you'yi'duo 一朵又一朵
'shi'yue'er'shi'yi'ri 十月二十一日
'qie'qie'ru'si'yu 切切如私语
'e'pang'xi'chi'qin 阿房昔侈秦
'jiang'xin'qiu'yue'bai 江心秋月白
'er'yue'shi'ba'ri 二月十八日
'wu'wa'shuang'wu'zui'fu'rong 吴娃双舞醉芙蓉
'yuan'ming'du'ai'ju 渊明独爱菊
'you'dao'bu'you'pin 忧道不忧贫
'you'dao'fou'you'pin 忧道不忧贫
'cheng'xiang'ci'tang'he'chu 丞相祠堂何处
'lei'hen'hong'yi'jiao'xiao'tou 泪痕红浥鲛绡透
'lei'hen'gong'yi'jiao'xiao'tou 泪痕红浥鲛绡透
'bai'xue'que'xian'chun'se'wan 白雪却嫌春色晚
'a'hou'zai'he'chu 阿侯在何处
'e'hou'zai'he'chu 阿侯在何处
'a'jian'ze'pan'gu'pu'jie 阿坚泽畔菰蒲节
'e'jian'ze'pan'gu'pu'jie 阿坚泽畔菰蒲节
'a'jian'shi'pan'gu'pu'jie 阿坚泽畔菰蒲节
'e'jian'shi'pan'gu'pu'jie 阿坚泽畔菰蒲节
'ban'luo'qing'tian'wai 半落青天外
'ban'la'qing'tian'wai 半落青天外
'you'chong'shan'jun'ling 有崇山峻岭
'ci'shi'xiang'wang'bu'xiang'wen 此时相望不相闻
'yi'bai'er'shi'nian 一百二十年
'huan'le'qian'zhen'di'chang 换了浅斟低唱
'cang'lang'zhi'shui'qing 沧浪之水清
'ba'nian'shi'er'yue 八年十二月
'xi'yan'zhao'cheng'hong 犀焰照澄泓
'xi'yan'zhao'deng'hong 犀焰照澄泓
'jian'guan'qian'bo'la 茧纶牵拨剌
'jian'lun'qian'bo'la 茧纶牵拨剌
'bu'lao'sun'zi'fa 不劳孙子法
'zi'de'tai'gong'tao 自得太公韬
'zhi'shang'yin'he'qu 直上银河去
'bu'zhi'tai'shou'zhi'le'qi'le'ye 不知太守之乐其乐也
'meng'hun'bu'dao'guan'shan'nan 梦魂不到关山难
'meng'hun'bu'dao'guan'shan'nuo 梦魂不到关山难
'wu'yue'er'shi'si'ri 五月二十四日
'qiang'lu'hui'fei'yan'mie 强虏灰飞烟灭
'jiang'lu'hui'fei'yan'mie 强虏灰飞烟灭
'er'le'yi'wu'qiong'ye 而乐亦无穷也
'san'xia'qi'bai'li 三峡七百里
'huang'he'zhi'fei'shang'bu'de 黄鹤之飞尚不得
'huang'he'zhi'fei'shang'bu'dei 黄鹤之飞尚不得
'nu'mian'bu'ru'hua'mian'hao 奴面不如花面好
'ru'jin'zhi'shang'yin'he'qu 如今直上银河去
'jin'nian'er'shi'san 今年二十三
'qian'tao'wan'lu'sui'xin'ku 千淘万漉虽辛苦
'a'jiao'chu'shi'han'huang'en 阿娇初失汉皇恩
'a'lian'kong'fu'meng'zhong'lai 阿连空复梦中来
'e'lian'kong'fu'meng'zhong'lai 阿连空复梦中来
'a'man'wen'wu'ru'si'hu 阿瞒文武如兕虎
'e'man'wen'wu'ru'si'hu 阿瞒文武如兕虎
'a'men'wen'wu'ru'si'hu 阿瞒文武如兕虎
'e'men'wen'wu'ru'si'hu 阿瞒文武如兕虎
'hui'shou'xiang'guan'gui'lu'nan 回首乡关归路难
'hui'shou'xiang'guan'gui'lu'nuo 回首乡关归路难
'yue'zhao'gu'cun'san'liang'jia 月照孤村三两家
'bu'dao'li'qing'zheng'ku 不道离情正苦
'lu'lu'che'sheng'ru'shui'qu 辘辘车声如水去
'shui'hui'ping'lan'yi 谁会凭阑意
'wan'jie'chou'chang'wu'zhou'ye 万结愁肠无昼夜
'mo'jie'chou'chang'wu'zhou'ye 万结愁肠无昼夜
'ge'zai'tian'yi'ya 各在天一涯
'za'ran'er'qian'chen'zhe 杂然而前陈者
'xi'shen'er'yu'fei 溪深而鱼肥
'shi'ren'ting'ci'diao'zhu'yan 使人听此凋朱颜
'er'nian'you'zui'gao 而年又最高
'han'mei'dian'zhui'qiong'zhi'ni 寒梅点缀琼枝腻
'han'mei'dian'zhui'qiong'qi'ni 寒梅点缀琼枝腻
'ran'ze'bei'tong'wu'xia 然则北通巫峡
'dui'ci'yu'dao'dong'nan'qing 对此欲倒东南倾
'you'di'jie'fen'san 有弟皆分散
'you'ti'jie'fen'san 有弟皆分散
'you'tui'jie'fen'san 有弟皆分散
'ge'yao'tiao'zhi'zhang 歌窈窕之章
'chang'wang'jiang'tou'jiang'shui'sheng 怅望江头江水声
'kuang'nai'wei'xiu'bing 况乃未休兵
'hun'po'bu'ceng'lai'ru'meng 魂魄不曾来入梦
'he'ri'geng'zhong'you 何日更重游
'tai'kong'jiang'zi'liu 台空江自流
'xing'neng'shu'yi'wen'zhe 醒能述以文者
'xing'nai'shu'yi'wen'zhe 醒能述以文者
'hua'wei'lang'yu'chai 化为狼与豺
'xing'zhe'xiu'yu'shu 行者休于树
'xing'zhe'xu'yu'shu 行者休于树
'la'zhu'you'xin'huan'xi'bie 蜡烛有心还惜别
'a'mu'bai'mei'ren 阿母白媒人
'a'mu'ceng'yao'dao'han'gong 阿母曾邀到汉宫
'a'mu'zeng'yao'dao'han'gong 阿母曾邀到汉宫
'a'mu'da'bei'cui 阿母大悲摧
'a'mu'da'fu'zhang 阿母大拊掌
'a'mu'dai'fu'zhang 阿母大拊掌
'a'mu'tai'fu'zhang 阿母大拊掌
'a'mu'de'wen'zhi 阿母得闻之
